,Kingdom,Phylum,Class,Subclass,Order,Family,Genus,Species,8,9,10
Pseudocrypthelia pachypoma,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Pseudocrypthelia,Pseudocrypthelia pachypoma,,
Cheiloporidion pulvinatum,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Cheiloporidion,Cheiloporidion pulvinatum,,
Chondrocladia (Chondrocladia) concrescens,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,Chondrocladia,Chondrocladia (Chondrocladia),Chondrocladia (Chondrocladia) concrescens,,
Briareum asbestinum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Briareidae,Briareum,Briareum asbestinum,,
Titanideum suberosum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Spongiodermidae,Titanideum,Titanideum suberosum,,
Asbestopluma (Asbestopluma) ramosa,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,Asbestopluma,Asbestopluma (Asbestopluma),Asbestopluma (Asbestopluma) ramosa,,
Leiopathes secunda,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Leiopathidae,Leiopathes,Leiopathes secunda,,,
Thesea solitaria,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Thesea,Thesea solitaria,,
Plumarella profunda,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Plumarella,Plumarella profunda,,
Acanthella cubensis,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Bubarida,Dictyonellidae,Acanthella,Acanthella cubensis,,,
Paracis squamata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Paracis,Paracis squamata,,
Asteriopathes arachniformis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Aphanipathidae,Aphanipathinae,Asteriopathes,Asteriopathes arachniformis,,
Acanthella mastophora,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Bubarida,Dictyonellidae,Acanthella,Acanthella mastophora,,,
Auletta sycinularia,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Auletta,Auletta sycinularia,,,
Dysideidae,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,Dysideidae,,,,,
Aaptos aaptos,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Aaptos,Aaptos aaptos,,,
Antipathes simplex,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes,Antipathes simplex,,,
Stephanohelia sulfurea,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Stephanohelia,Stephanohelia sulfurea,,
Acanthella vaceleti,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Bubarida,Dictyonellidae,Acanthella,Acanthella vaceleti,,,
Flabellum (Flabellum) lamellulosum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) lamellulosum,,
Aaptos pernucleata,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Aaptos,Aaptos pernucleata,,,
Paracis orientalis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Paracis,Paracis orientalis,,
Muricella englemani,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Acanthogorgiidae,Muricella,Muricella englemani,,
Pleurogorgia plana,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Chrysogorgiidae,Pleurogorgia,Pleurogorgia plana,,
Parantipathes euantha,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Parantipathes,Parantipathes euantha,,,
Radiella sol,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Radiella,Radiella sol,,,
Nicella carinata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Ellisellidae,Nicella,Nicella carinata,,
Alternatipathes alternata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Alternatipathes,Alternatipathes alternata,,,
Cliona varians,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Clionaidae,Cliona,Cliona varians,,,
Amphimedon compressa,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Niphatidae,Amphimedon,Amphimedon compressa,,,
Aplysina fistularis,Animalia,Porifera,Demospongiae,Verongimorpha,Verongiida,Aplysinidae,Aplysina,Aplysina fistularis,,,
Euplexaura reticulata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Euplexaura,Euplexaura reticulata,,
Pterogorgia ellisiana,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Gorgoniidae,Pterogorgia,Pterogorgia ellisiana,,
Pteridopathes pinnata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Aphanipathidae,Aphanipathinae,Pteridopathes,Pteridopathes pinnata,,
Gardineria simplex,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Gardineriidae,Gardineria,Gardineria simplex,,,
Placogorgia coronata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Placogorgia,Placogorgia coronata,,
Aciculites cribrophora,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Spirophorina,Scleritodermidae,Aciculites,Aciculites cribrophora,,
Cladorhiza bathycrinoides,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,Cladorhiza,Cladorhiza bathycrinoides,,,
Calthropella (Pachataxa) lithistina,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Calthropellidae,Calthropella,Calthropella (Pachataxa),Calthropella (Pachataxa) lithistina,
Lefroyella decora,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Euretidae,Euretinae,Lefroyella,Lefroyella decora,,
Leiodermatium pfeifferae,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Spirophorina,Azoricidae,Leiodermatium,Leiodermatium pfeifferae,,
Inferiolabiata africana,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Inferiolabiata,Inferiolabiata africana,,
Aphrocallistidae,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Aphrocallistidae,,,,,
Pliobothrus gracilis,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Pliobothrus,Pliobothrus gracilis,,
Crypthelia affinis,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Crypthelia,Crypthelia affinis,,
Inferiolabiata spinosa,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Inferiolabiata,Inferiolabiata spinosa,,
Stenohelia tiliata,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Stenohelia,Stenohelia tiliata,,
Crypthelia formosa,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Crypthelia,Crypthelia formosa,,
Oculina profunda,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Oculina,Oculina profunda,,,
Crypthelia japonica,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Crypthelia,Crypthelia japonica,,
Dendrobrachia sarmentosa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Dendrobrachiidae,Dendrobrachia,Dendrobrachia sarmentosa,,
Diplastrella bistellata,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Spirastrellidae,Diplastrella,Diplastrella bistellata,,,
Terpios lobiceps,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Terpios,Terpios lobiceps,,,
Coelosphaera (Coelosphaera) tunicata,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Coelosphaeridae,Coelosphaera,Coelosphaera (Coelosphaera),Coelosphaera (Coelosphaera) tunicata,,
Endectyon (Endectyon) tenax,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Raspailiidae,Raspailiinae,Endectyon,Endectyon (Endectyon),Endectyon (Endectyon) tenax,
Desmacella vagabunda,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Desmacellida,Desmacellidae,Desmacella,Desmacella vagabunda,,,
Hamacantha (Vomerula) tenda,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Merliida,Hamacanthidae,Hamacantha,Hamacantha (Vomerula),Hamacantha (Vomerula) tenda,,
Dactylocalyx subglobosus,Animalia,Porifera,Hexactinellida,Hexasterophora,Hexasterophora incertae sedis,Dactylocalycidae,Dactylocalyx,Dactylocalyx subglobosus,,,
Discodermia inscripta,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Theonellidae,Discodermia,Discodermia inscripta,,
Leiodermatium deciduum,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Spirophorina,Azoricidae,Leiodermatium,Leiodermatium deciduum,,
Scleroplegma lanterna,Animalia,Porifera,Hexactinellida,Hexasterophora,Lychniscosida,Diapleuridae,Scleroplegma,Scleroplegma lanterna,,,
Halicnemia verticillata,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Stelligeridae,Halicnemia,Halicnemia verticillata,,,
Guitarra fimbriata,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Guitarridae,Guitarra,Guitarra fimbriata,,,
Phakellia ventilabrum,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Phakellia,Phakellia ventilabrum,,,
Erylus discophorus,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Geodiidae,Erylinae,Erylus,Erylus discophorus,
Myliusia conica,Animalia,Porifera,Hexactinellida,Hexasterophora,Hexasterophora incertae sedis,Myliusia,Myliusia conica,,,,
Macandrewia clavatella,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Macandrewiidae,Macandrewia,Macandrewia clavatella,,
Geodia thomsonii,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Geodiidae,Geodiinae,Geodia,Geodia thomsonii,
Pachastrella abyssi,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Pachastrellidae,Pachastrella,Pachastrella abyssi,,
Eurete marshalli,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Euretidae,Euretinae,Eurete,Eurete marshalli,,
Characella connectens,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Pachastrellidae,Characella,Characella connectens,,
Haliclona hebes,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Chalinidae,Haliclona,Haliclona hebes,,,
Geodia globus,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Geodiidae,Geodiinae,Geodia,Geodia globus,
Aplysinidae,Animalia,Porifera,Demospongiae,Verongimorpha,Verongiida,Aplysinidae,,,,,
Agelas conifera,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Agelasida,Agelasidae,Agelas,Agelas conifera,,,
Siphonidium geminum,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Spirophorina,Siphonidiidae,Siphonidium,Siphonidium geminum,,
Antho (Plocamia) gymnazusa,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Microcionidae,Ophlitaspongiinae,Antho,Antho (Plocamia),Antho (Plocamia) gymnazusa,
Corallistes typus,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Corallistidae,Corallistes,Corallistes typus,,
Oceanapia peltata,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Phloeodictyidae,Oceanapia,Oceanapia peltata,,,
Vulcanella horrida,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Vulcanellidae,Vulcanella,Vulcanella horrida,,
Siphonodictyon densum,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Phloeodictyidae,Siphonodictyon,Siphonodictyon densum,,,
Phakellia folium,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Phakellia,Phakellia folium,,,
Topsentia profunditatis,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Halichondriidae,Topsentia,Topsentia profunditatis,,,
Vazella pourtalesii,Animalia,Porifera,Hexactinellida,Hexasterophora,Lyssacinosida,Rossellidae,Rossellinae,Vazella,Vazella pourtalesii,,
Verrucocoeloidea liberatorii,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Euretidae,Chonelasmatinae,Verrucocoeloidea,Verrucocoeloidea liberatorii,,
Craniella cranium,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Spirophorina,Tetillidae,Craniella,Craniella cranium,,
Mycale (Oxymycale) renieroides,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Mycalidae,Mycale,Mycale (Oxymycale),Mycale (Oxymycale) renieroides,,
Spongia (Spongia) plana,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,Spongiidae,Spongia,Spongia (Spongia),Spongia (Spongia) plana,,
Trichasterina sagittaria,Animalia,Porifera,Hexactinellida,Hexasterophora,Lyssacinosida,Rossellidae,Rossellinae,Trichasterina,Trichasterina sagittaria,,
Crypthelia balia,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Crypthelia,Crypthelia balia,,
Crypthelia platypoma,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Crypthelia,Crypthelia platypoma,,
Crypthelia ramosa,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Crypthelia,Crypthelia ramosa,,
Paraerrina decipiens,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Paraerrina,Paraerrina decipiens,,
Stenohelia umbonata,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Stenohelia,Stenohelia umbonata,,
Stylaster stellulatus,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Stylaster,Stylaster stellulatus,,
Crypthelia vascomarquesi,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Crypthelia,Crypthelia vascomarquesi,,
Stylaster parageus columbiensis,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Stylaster,Stylaster parageus,Stylaster parageus columbiensis,
Plumarella abietina,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Plumarella,Plumarella abietina,,
Plumarella adhaerans,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Plumarella,Plumarella adhaerans,,
Thouarella (Euthouarella) typica,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Thouarella,Thouarella (Euthouarella),Thouarella (Euthouarella) typica,
Siphonogorgia splendens,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae,Siphonogorgia,Siphonogorgia splendens,,
Pteroeides sagamiense,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Pennatulidae,Pteroeides,Pteroeides sagamiense,,
Clavularia dispersa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Clavularia,Clavularia dispersa,,
Arthrogorgia ijimai,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Arthrogorgia,Arthrogorgia ijimai,,
Acanthogorgia paradoxa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Acanthogorgiidae,Acanthogorgia,Acanthogorgia paradoxa,,
Anthomuricea aberrans,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Anthomuricea,Anthomuricea aberrans,,
Telesto tubulosa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telesto,Telesto tubulosa,,
Plumarella recta,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Plumarella,Plumarella recta,,
Dendronephthya oviformis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Dendronephthya,Dendronephthya oviformis,,
Elasmogorgia ramosa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Elasmogorgia,Elasmogorgia ramosa,,
Acanthogorgia fusca,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Acanthogorgiidae,Acanthogorgia,Acanthogorgia fusca,,
Plumarella alternata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Plumarella,Plumarella alternata,,
Pennatula fimbriata,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Pennatulidae,Pennatula,Pennatula fimbriata,,
Pennatula naresi,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Pennatulidae,Pennatula,Pennatula naresi,,
Virgularia alba,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae,Virgularia,Virgularia alba,,
Paracis spinifera,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Paracis,Paracis spinifera,,
Eleutherobia flava,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Eleutherobia,Eleutherobia flava,,
Dendronephthya magnacantha,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Dendronephthya,Dendronephthya magnacantha,,
Dendronephthya nigripes,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Dendronephthya,Dendronephthya nigripes,,
Muricella abnormalis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Acanthogorgiidae,Muricella,Muricella abnormalis,,
Placogorgia japonica,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Placogorgia,Placogorgia japonica,,
Villogorgia brunnea,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Villogorgia,Villogorgia brunnea,,
Eleutherobia rigida,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Eleutherobia,Eleutherobia rigida,,
Paracalyptrophora kerberti,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Paracalyptrophora,Paracalyptrophora kerberti,,
Chrysogorgia lata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Chrysogorgiidae,Chrysogorgia,Chrysogorgia lata,,
Dendronephthya acaulis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Dendronephthya,Dendronephthya acaulis,,
Acanthoprimnoa cristata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Acanthoprimnoa,Acanthoprimnoa cristata,,
Ellisella rubra,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Ellisellidae,Ellisella,Ellisella rubra,,
Placogorgia placoderma,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Placogorgia,Placogorgia placoderma,,
Siphonogorgia variabilis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae,Siphonogorgia,Siphonogorgia variabilis,,
Flabellum (Ulocyathus) deludens,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus),Flabellum (Ulocyathus) deludens,,
Flabellum (Ulocyathus) marenzelleri,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus),Flabellum (Ulocyathus) marenzelleri,,
Flabellum (Ulocyathus) japonicum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus),Flabellum (Ulocyathus) japonicum,,
Flabellum (Flabellum) patens,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) patens,,
Flabellum (Flabellum) politum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) politum,,
Truncatoflabellum paripavoninum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum,Truncatoflabellum paripavoninum,,,
Flabellum (Flabellum) magnificum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) magnificum,,
Truncatoflabellum incrustatum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum,Truncatoflabellum incrustatum,,,
Truncatoflabellum formosum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum,Truncatoflabellum formosum,,,
Truncatoflabellum carinatum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum,Truncatoflabellum carinatum,,,
Placogorgia dendritica,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Placogorgia,Placogorgia dendritica,,
Scleronephthya gracillimum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Scleronephthya,Scleronephthya gracillimum,,
Echinomuricea coronalis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Echinomuricea,Echinomuricea coronalis,,
Keroeides koreni,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Keroeididae,Keroeides,Keroeides koreni,,
Villogorgia compressa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Villogorgia,Villogorgia compressa,,
Fanellia pseudoflabellum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Fanellia,Fanellia pseudoflabellum,,
Callogorgia cristata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Callogorgia,Callogorgia cristata,,
Eunicella pendula,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Gorgoniidae,Eunicella,Eunicella pendula,,
Siphonogorgia koellikeri,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae,Siphonogorgia,Siphonogorgia koellikeri,,
Clavularia expansa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Clavularia,Clavularia expansa,,
Bellonella petila,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Bellonella,Bellonella petila,,
Calyptrophora juliae,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Calyptrophora,Calyptrophora juliae,,
Verrucella miniacea,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Ellisellidae,Verrucella,Verrucella miniacea,,
Thouarella (Euthouarella) laxa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Thouarella,Thouarella (Euthouarella),Thouarella (Euthouarella) laxa,
Chrysogorgia expansa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Chrysogorgiidae,Chrysogorgia,Chrysogorgia expansa,,
Chrysogorgia excavata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Chrysogorgiidae,Chrysogorgia,Chrysogorgia excavata,,
Chrysogorgia bracteata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Chrysogorgiidae,Chrysogorgia,Chrysogorgia bracteata,,
Pseudocladochonus hicksoni,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Pseudocladochonus,Pseudocladochonus hicksoni,,
Anthogorgia bocki,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Acanthogorgiidae,Anthogorgia,Anthogorgia bocki,,
Scytalium martensi,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae,Scytalium,Scytalium martensi,,
Thouarella (Euthouarella) moseleyi,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Thouarella,Thouarella (Euthouarella),Thouarella (Euthouarella) moseleyi,
Callogorgia chariessa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Callogorgia,Callogorgia chariessa,,
Chromonephthea aurantiaca,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Chromonephthea,Chromonephthea aurantiaca,,
Scleronephthya pustulosa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Scleronephthya,Scleronephthya pustulosa,,
Eleutherobia splendens,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Eleutherobia,Eleutherobia splendens,,
Bellonella epedana,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Bellonella,Bellonella epedana,,
Truncatoflabellum candeanum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum,Truncatoflabellum candeanum,,,
Placogorgia foliata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Placogorgia,Placogorgia foliata,,
Heteropsammia cochlea,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Heteropsammia,Heteropsammia cochlea,,,
Culicia stellata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Rhizangiidae,Culicia,Culicia stellata,,,
Fungiacyathus (Fungiacyathus) stephanus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Fungiacyathidae,Fungiacyathus,Fungiacyathus (Fungiacyathus),Fungiacyathus (Fungiacyathus) stephanus,,
