index,AphiaID,Kingdom,Phylum,Class,Subclass,Order,Family,Genus
Farrea truncata,747394,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Farreidae,Farrea
Flabellidae,135075,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,
Paramuriceidae,151540,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Paramuriceidae,
Verongiida,845402,Animalia,Porifera,Demospongiae,Verongimorpha,Verongiida,,
Rossellinae,171965,Animalia,Porifera,Hexactinellida,Hexasterophora,Lyssacinosida,Rossellidae,Rossellinae
Stichopathes japonica,283968,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Cladorhiza caillieti,759951,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,Cladorhiza
Cladorhiza evae,759953,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,Cladorhiza
Lollipocladia tiburoni,344755,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,Lollipocladia
Theneidae,131666,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Theneidae
Fungiidae,196100,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Fungiidae,
Antipathes tristis,411113,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Thalamophyllia riisei,286868,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Thalamophyllia
